Swedish,English
jag,I
det,the
är ,is
du ,you
att ,to
inte ,not
en ,one
och ,and
har ,has
vi ,we
på ,on
i ,in
för ,for
han ,he
med ,with
som ,as
om ,if
var ,where
vad ,What
mig ,me
här ,here
dig ,you
så ,so
den ,the
kan ,can
till ,to
de ,the
men ,but
ett ,one
ska ,should
ni ,you
av ,of
hon ,she
vill ,wants
ja ,yes
vet ,know
nu ,now
nej ,No
bara ,only
hur ,how
min ,my
kommer ,comes
där ,where
måste ,must
honom ,him
gör ,make
din ,your
skulle ,would
när ,when
då ,then
kom ,came
ha ,have
bra ,Good
får ,get
man ,MAN
vara ,be
oss ,U.S
ut ,out
ta ,take
er ,your
göra ,do
okej ,okay
eller ,or
hade ,had
från ,from
varför ,why
dem ,them
alla ,all
tror ,think
sig ,to
allt ,all
henne ,her
upp ,up
sa ,said
ingen ,No
tack ,thanks
gå ,go
in ,in
igen ,again
få ,get
nåt ,something
se ,see
går ,goes
mycket ,very
hej ,Hello
vem ,who
kanske ,perhaps
lite ,a little
behöver ,need
ser ,looks
mitt ,my
aldrig ,Never
finns ,are
än ,than
inget ,nothing
efter ,after
blir ,gets
ju ,The
hans ,his
sen ,late
bli ,Become
gjorde ,did
två ,two
nån ,eachother
tillbaka ,back
tar ,takes
mer ,more
något ,something
över ,over
säger ,says
fick ,got
ditt ,your
ge ,give
väl ,well
också ,also
mina ,mine
åt ,at
nog ,probably
fan ,Damn
kunde ,could
år ,year
säga ,say
någon ,any
mamma ,mother
varit ,been
ner ,down
ville ,wanted
vänta ,wait
mot ,against
pappa ,dad
andra ,Other
borde ,should
känner ,know
rätt ,Right
vid ,at
några ,a few
hela ,whole
såg ,SAW
hit ,here
prata ,talk
komma ,come
låt ,let '
detta ,this
gjort ,done
blev ,became
själv ,self
tog ,took
alltid ,always
vår ,spring
utan ,without
fel ,wrong
hem ,Home
mr ,mr
dag ,day
dina ,your
liv ,life
menar ,mean
verkligen ,really
visst ,Certainly
va ,eh
förstår ,understand
sin ,its
tid ,time
trodde ,thought
gick ,went
älskar ,love
sätt ,way
berätta ,tell
tänker ,thinking
döda ,kill
veta ,Know
tre ,three
många ,many
folk ,people
sluta ,stop
precis ,just
inga ,no
hennes ,her
titta ,look
innan ,before
visste ,knew
gillar ,like
barn ,children
bättre ,better
hjälpa ,help
under ,during
förlåt ,sorry
gång ,walk
bort ,away
hjälp ,help
händer ,happens
just ,just
helt ,completely
säg ,say
tycker ,think
första ,first
död ,death
håll ,hold
länge ,long
hör ,hear
sett ,seen
ledsen ,sorry
snälla ,please
saker ,things
hitta ,find
fortfarande ,still
står ,stands
pengar ,money
god ,good
samma ,same
sir ,Sir
ens ,even
ursäkta ,excuse
heter ,called
håller ,holding
vilken ,which
enda ,only
gud ,God
våra ,our
hand ,hand
borta ,away
mår ,feel
hallå ,Hello
hände ,happened
ur ,from
problem ,problem
vän ,Friend
ger ,gives
stanna ,stay
sak ,Thing
dom ,judgment
försöker ,trying
låter ,allows
far ,Father
kvar ,left
väg ,way
annan ,Other
redan ,already
längre ,longer
jävla ,fucking
helvete ,hell
pratar ,talking
väldigt ,very
åh ,Oh
herregud ,Oh my God
vart ,where
dit ,there
kväll ,Evening
morgon ,morning
fått ,got
snart ,soon
ute ,out
fråga ,question
sitt ,his
tiden ,time
kör ,drive
deras ,their
tänkte ,figured
namn ,name
verkar ,seems
tro ,believe
jo ,yes
varje ,each
fram ,front
bästa ,top
fru ,wife
först ,first
träffa ,meet
säkert ,surely
slut ,final
sedan ,then
hos ,at
ingenting ,nothing
därför ,because
åka ,go
visa ,show
säker ,sure
lämna ,leave
börjar ,begins
vägen ,way
genom ,through
gav ,gave
härifrån ,from here
jobb ,Job
hålla ,keep
son ,son
stor ,Big
vänner ,friends
hittade ,found
annat ,Other
hoppas ,hope
sina ,their
hörde ,heard
vilket ,which
kolla ,check
minns ,remember
ihop ,Together
rädd ,afraid
sista ,last
även ,also
era ,era
sex ,six
vårt ,our
kunna ,be able to
ses ,be
del ,part
nästa ,Next
fem ,five
livet ,life
nya ,new
människor ,people
bilen ,car
dö ,die
riktigt ,really
klarar ,pass
höra ,hear
tills ,until
liten ,small
betyder ,mean
tänk ,think
tag ,while
lyssna ,listen
polisen ,police
ändå ,still
sagt ,said
hemma ,home
sant ,true
världen ,world
fast ,fixed
faktiskt ,actually
ligger ,is located
skit ,crap
idag ,today
minuter ,minutes
familj ,family
runt ,around
blivit ,been
klart ,clear
fall ,case
väntar ,waiting
dog ,died
fyra ,four
dra ,drag
dollar ,dollar
åker ,go
kul ,fun
tala ,speak
illa ,badly
män ,men
försökte ,tried
dödade ,killed
helst ,preferably
annars ,otherwise
haft ,had
sånt ,stuff
nästan ,almost
ensam ,alone
inne ,in
lika ,equal
lägg ,add
hittar ,find
redo ,ready
hämta ,retrieve
jobbar ,work
dr ,dr
gången ,time
båda ,both
ny ,new
denna ,this
stora ,large
plats ,place
tur ,lucky
börja ,start
svårt ,difficult
lugnt ,calmly
långt ,far
spelar ,play
kvinna ,woman
känns ,feels
älskling ,Darling
hänt ,happened
bil ,car
emot ,against
låta ,sound
tillsammans ,together
öppna ,Open
släpp ,release
hört ,heard
huset ,house
senare ,later
bror ,Brother
ringer ,call
lilla ,small
be ,ask
rör ,pipe
ibland ,sometimes
rädda ,save
heller ,either
fort ,fast
glad ,Happy
gått ,gone
mellan ,between
nära ,close
ifrån ,from
hus ,House
vore ,would
igenom ,through
fler ,more
s ,s
kände ,felt
vilka ,which
dotter ,daughter
bryr ,care
dagar ,days
kille ,boy
tänka ,think
bor ,live
fattar ,make
gärna ,gladly
fanns ,was
ber ,asks
började ,started
killen ,guy
sitter ,seated
slå ,beat
ännu ,yet
tio ,ten
trevligt ,nice
vilja ,will
gott ,good
spela ,play
bäst ,best
chans ,chance
gånger ,times
varandra ,each other
timmar ,hours
lever ,liver
pengarna ,the money
äta ,eat
handlar ,deal
natt ,night
rum ,room
klara ,done
mor ,mother
gamla ,old
ord ,words
ihåg ,remember
reda ,find
ringa ,call
mannen ,art
ert ,your
dags ,time
bakom ,behind
eftersom ,since
gammal ,old
jobbet ,work
dörren ,door
fara ,danger
känna ,feel
dessa ,these
all ,all
dör ,dies
sån ,such a
par ,couple
bad ,swimming
hjälper ,help
alls ,at all
tyst ,silent
egen ,own
kommit ,come
ringde ,called
dagen ,day
klar ,clear
galen ,crazy
stan ,town
leva ,live
syster ,Sister
oroa ,worry
mat ,food
vapen ,arms
john ,john
ring ,ring
skull ,sake
idé ,idea
stället ,instead
antar ,suppose
tagit ,taken
vadå ,what
sätta ,put
stå ,stand
mrs ,Mrs.
jaså ,Oh really
berättade ,told
ganska ,quite
följer ,follows
klockan ,bell
tidigare ,earlier
hittat ,found
följa ,follow
